Red,redProductName,redProductPrice,redProductLink,redProductImage,Yellow & Orange,yellowProductName,yellowProductPrice,yellowProductLink,yellowProductImage,"White, Tan & Brown",whiteProductName,whiteProductPrice,whiteProductLink,whiteProductImage,Green,greenProductName,greenProductPrice,greenProductLink,greenProductImage,Blue & Purple,blueProductName,blueProductPrice,blueProductLink,blueProductImage,Recipes
Red Watermelon,Pasar Seedless Red Watermelon,$7.25,https://www.fairprice.com.sg/search?query=Red Watermelon,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13002027_XL1_20221123.jpg,Papayas,Fresh Hong Kong Papaya - L,$3.95,https://www.fairprice.com.sg/search?query=Papayas,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13056926_XL1_20230510.jpg,Shallots,Fresh Shallot (Prepacked),$1.98,https://www.fairprice.com.sg/search?query=Shallots,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13136365_XL1_20221122.jpg,Broccoli,Orgo Fresh Royal Broccoli,$3.88,https://www.fairprice.com.sg/search?query=Broccoli,https://media.nedigital.sg/fairprice/90153099_XL1_20240724091150_53f83175bd25b60db5c895e8928eff8f.jpg,Black Olives,Borges Black Olives - Pitted,$4.79,https://www.fairprice.com.sg/search?query=Black Olives,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13003761_XL1_20211122.jpg,"Total time: 40 mins , Serves: 3-4 

Steamed yellow croaker with salted black olives
Ingredients:
2 yellow croakers (780 g)
1 tbsp white rice vinegar
2 tsp salt
12 salted black olives (180 g)
80 ml olive oil or cooking oil
3 garlic cloves, chopped
1 red finger chilli, sliced
1 stalk of spring onion (5 g), sliced
2 stalks of coriander (5 g)

Instructions:
Use a knife to scrape remaining scales off the yellow croakers.
Place the fish in a deep dish. Add white rice vinegar and 1 tsp of salt. Rub the mixture all over each fish. Rinse well.
Place the fish in a heat-proof dish and rub Â½ tsp of salt over the two pieces, sprinkling some into the fish cavity. Take care not to break any fish egg or milt in the cavity.
Cover the dish with cling wrap and place it in the fridge to chill if you are not cooking it right away.
Remove the fish from the fridge. Leave it on kitchen counter 45 minutes before steaming.
Rinse the salted black olives briefly. Place an olive on the cutting board. Using a kitchen knife, gently slice around the middle of the pit as you push the knife forward. Pull apart the two halves of the olive gently with your fingers. It should come apart easily and cleanly. Discard the pit. Repeat with remaining olives. Slice the olives laterally.
Heat 2 tbsps of oil (30 ml) in a frying pan. Add the chopped garlic and olives. Stir-fry for 90 secs. Set aside.
Drain off excess water at the bottom of the dish containing the yellow croakers.
Place the stir-fried olive and garlic mixture over the fish. Steam the fish for 8 mins.
Two minutes before the end of the steaming time, heat 50ml of olive oil over medium-low heat in a separate pan.
Once the fish is steamed, add the sliced chilli and spring onion over the fish.
Turn off the heat for the oil and pour the hot oil over the fish. Garnish with coriander and serve immediately.

Source: https://www.womensweekly.com.sg/recipe/food/asian-recipes/steamed-yellow-croaker-with-salted-black-olives/


"
Grapefruit,YayaPapaya Grapefruit,$1.30,https://www.fairprice.com.sg/search?query=Grapefruit,https://media.nedigital.sg/fairprice/90074788_XL1_20240723210059_cf3cff18244e1369060b088478034844.jpg,Peaches,Donut Peach,$4.95,https://www.fairprice.com.sg/search?query=Peaches,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13024402_XL1_20210824.jpg,Mushrooms,Hokto Mushroom - Bunashimeji,$1.59,https://www.fairprice.com.sg/search?query=Mushrooms,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11212658_XL1_20240613.jpg,Brussels Sprouts,Yuan Zhen Yuan Brussels Sprout,$4.54,https://www.fairprice.com.sg/search?query=Brussels Sprouts,https://media.nedigital.sg/fairprice/90174338_XL1_20240724054151_f4210b092814fd25b45ea29ec57e87dc.jpg,Raisins,Sun-Maid Natural California Raisins - Mini Pack,$3.80,https://www.fairprice.com.sg/search?query=Raisins,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/275885_XL1.jpg,"Total time: 40 mins, Serves 2-3

Charred brussels sprouts with grapefruit and yuba
Ingredients:
2 tbsp oil
350g brussels sprouts, bases trimmed, halved
1/2 tsp salt
40g dried tofu sticks
Oil, as needed for deep-frying
3 tbsp Kewpie mayonnaise
3/4 tbsp Japanese rice vinegar
1 1/2 tbsp soy sauce
3/4 tsp sugar
45g Japanese pickled ginger, chopped
1 1/2 tsp sesame oil
1 large grapefruit
A handful of nori strips

Instructions:
350g brussels sprouts, bases trimmed, halved
1/2 tsp salt
40g dried tofu sticks
Oil, as needed for deep-frying
3 tbsp Kewpie mayonnaise
3/4 tbsp Japanese rice vinegar
1 1/2 tbsp soy sauce
3/4 tsp sugar
45g Japanese pickled ginger, chopped
1 1/2 tsp sesame oil
1 large grapefruit
A handful of nori strips

For the brussels sprouts, preheat the oven to 445Â°F/230Â°C. Meanwhile, in an ovenproof pan, preferably made of cast-iron, toss together 2 tbsp oil, 350g brussels sprouts (bases trimmed, halved) and 1/2 tsp salt.

Place the brussels sprouts cut side down in the pan and set the pan on high heat for a few minutes, or until the cut sides of the brussels sprouts turn light golden. Transfer the pan to the oven and roast for 10 to 15 minutes, or until the brussels sprouts are tender and charred.

For the tofu sticks, on high heat for 5 to 10 minutes, steam 40g dried tofu sticks.

Once the tofu sticks have softened up nicely, remove them from the steamer and snip them into 2-inch/5cm lengths with a pair of scissors.

To a sauce pan set on high heat, add oil (as needed for deep-frying). When the oil heats up to 300Â°F/150Â°C, add the tofu sticks. Cook for about a minute, turning occasionally until they puff and blister. They should hardly develop any colour. If the oil is too hot, the tofu sticks will brown too quickly and blisters will not form. Remove the fried tofu from the pan and transfer them to a paper towel-lined dish to drain.

For the dressing, in a small bowl, mix together 3 tbsp Kewpie mayonnaise, 3/4 tbsp Japanese rice vinegar, 1 1/2 tbsp soy sauce, 3/4 tsp sugar, 45g Japanese pickled ginger (chopped) and 1 1/2 tsp sesame oil.

To serve, with a knife, remove the skin and pith of 1 large grapefruit. Peel and cut the grapefruit into segments, then cut each segment into thirds crosswise. Place the grapefruit in a serving bowl or platter and toss with the brussels sprouts and tofu sticks.

Drizzle the dressing over everything and scatter over a handful of nori strips.

Source: https://sgpnoodles.substack.com/p/charred-brussels-sprouts-with-grapefruit "
Red Peppers,"Simply Organic Crushed Red Pepper, 45g",$11.00,https://www.fairprice.com.sg/search?query=Red Peppers,https://media.nedigital.sg/fairprice/90040795_XL1_20240721112739_bbb8ff59ef5c8944aeae44f8602b9b41.jpg,Yellow Pears,HORTI Tomato Yellow Pear Seeds,$2.52,https://www.fairprice.com.sg/search?query=Yellow Pears,https://media.nedigital.sg/fairprice/90043330_XL1_20240722161131_bd3a655cff9d2f147d940be44f928de9.jpg,Onions,Chef Red Onion - Large,$1.85,https://www.fairprice.com.sg/search?query=Onions,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10736396_XL1_20230525.jpg,Chinese Cabbage,Smart Knife Fresh Chinese Cabbage,$3.00,https://www.fairprice.com.sg/search?query=Chinese Cabbage,https://media.nedigital.sg/fairprice/90179797_XL1_20240627105656_59f9655fde1ceae4b4a91f19168d8c3d.jpg,Purple Cabbage,Orgo Fresh Purple Cabbage (Whole),$4.28,https://www.fairprice.com.sg/search?query=Purple Cabbage,https://media.nedigital.sg/fairprice/90150776_XL1_20240723233732_50ecf8d8b9af9635e4a8222bfd959a66.jpg,"Total time: 25 mins, Serves 4

Cabbage and glass noodles
Ingredients:
1 package mung bean vermicelli
(50g/1.75oz)
1 pound green cabbage (preferably Taiwanese cabbage; about 1/2 of a small to medium cabbage)
2 eggs
1/4 teaspoon salt
1/2 teaspoon sesame oil
1 tablespoon shaoxing wine (plus 1 teaspoon)
3 tablespoons vegetable oil
3-5 dried red chilis (break them open if you want more heat)
2 cloves garlic (chopped)
1 scallion (chopped)
1 teaspoon oyster sauce (or vegetarian oyster sauce)
1/2 teaspoon sugar
1 tablespoon soy sauce
1/8 teaspoon white pepper

Instructions:
Soak the mung bean vermicelli noodles for about 10 minutes until soft. Cut the bundle in half to shorten the noodle lengths, and set them aside (still in the soaking water). Prep the cabbage by slicing it into 1/2-inch thick strips.
Beat the eggs along with the salt, sesame oil and 1 teaspoon Shaoxing wine. Heat a wok over high heat until lightly smoking. Add 1 tablespoon oil, and the eggs quickly after. Scramble them for 20-30 seconds, until theyâ€™re just almost done (they can still be a bit runny). Take the eggs out of the wok and set aside.
Heat the 2 remaining tablespoons of oil in the wok over medium-high heat. Add the chili, garlic, and scallion. Cook for 30 seconds, until fragrant. Before the peppers and garlic start to turn brown, add the cabbage, and increase the heat to high. Stir-fry for 2 minutes, until the cabbage is wilted.
Pull the noodles out of the soaking water, and add them to the cabbage. Then add the cooked egg and the 1 remaining tablespoon of shaoxing wine. Stir-fry, then add the oyster sauce, soy sauce, sugar, and white pepper. Stir everything together and continue to stir-fry for another 2 minutes or so, until the noodles are tender (add a splash of water if the noodles look dry). Plate and serve!

Source: https://thewoksoflife.com/cabbage-and-glass-noodle-stir-fry/"
Radishes,Grozer Daikon White Radish,$3.14,https://www.fairprice.com.sg/search?query=Radishes,https://media.nedigital.sg/fairprice/90075818_XL1_20240724074007_b71a346c661c52e83a4ff6d643d83837.jpg,Persimmons,Farmy Farmy Persimmon,$17.99,https://www.fairprice.com.sg/search?query=Persimmons,https://media.nedigital.sg/fairprice/90185402_XL1_20240724042540_928676eb1a0389858fdd2d2b2ee48d71.jpg,Chickpeas,Green Earth Organic Chickpeas,$9.90,https://www.fairprice.com.sg/search?query=Chickpeas,https://media.nedigital.sg/fairprice/90031014_XL1_20240723184721_0f16571b3c9d2d3daf0f34a3027ce7b9.jpg,Avocados,Yuan Zhen Yuan Australian Avocado,$4.95,https://www.fairprice.com.sg/search?query=Avocados,https://media.nedigital.sg/fairprice/90187042_XL1_20240724081339_009be18191f291d7203c7e19a763ebda.jpg,Purple Carrots,"MMMM Mixed Baby Carrots, Australia",$9.00,https://www.fairprice.com.sg/product/mmmm-mixed-baby-carrots-australia-250-g-90090420,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90090420_XL1_20210725.jpg,"Total time: 20 mins, Serves: 4

Avocado, Tofu and Chickpea Salad
Ingredients:
Salad
Avocado, 1, peeled, seeded and chopped into 1cm cubes
Momotaro tomato, 1, diced in 8
Tamago tofu mushi, 150g, sliced
Chickpeas, 1 tin, strained and rinsed
Baby spinach or rocket, 200g
Flax seeds, 2 tbsp
Walnuts, 2 tbsp

Dressing
Lime zest and juice, 1
Shallot, 1 tsp, chopped
Balsamic vinegar, 1 tsp
Coriander leaf, 2 tbsp, chopped
Cracked black pepper, To taste
Sea salt, To taste (optional)

Instructions:
Combine all the ingredients for the dressing, and season to taste.
Place all salad ingredients in a bowl and toss with dressing.

Source: https://www.myheart.org.sg/recipes/avocado-tofu-and-chickpea-salad/"
Red cabbage,Grozer Red Cabbage,$3.14,https://www.fairprice.com.sg/search?query=Red cabbage,https://media.nedigital.sg/fairprice/90100712_XL1_20240723200824_8be5e17e63d44511e2ea551967aff79a.jpg,Pineapples,Pineapple,$2.95,https://www.fairprice.com.sg/search?query=Pineapples,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13112377_XL1_20230211.jpg,Turnips,Orgo Fresh Turnip (Jicama),$3.99,https://www.fairprice.com.sg/search?query=Turnips,https://media.nedigital.sg/fairprice/90144338_XL1_20240723235937_2da5adae4d5d7beadbc260b80fdf0067.jpg,Green Cabbage,The Silly Greens Stir Fry Long Cabbage (Ready To Cook),$4.15,https://www.fairprice.com.sg/search?query=Green Cabbage,https://media.nedigital.sg/fairprice/90149556_XL1_20240722003607_ba23100c50541758de69f396b5475f29.jpg,Eggplant,Go Fresh Pearl Brinjal,$2.40,https://www.fairprice.com.sg/search?query=Eggplant,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13106605_XL1_20221123.jpg,"Total time: 30 mins, Serves: 6

Singapore Rojak with Kiwi
Ingredients:
For the sauce:
6 tbsps black prawn paste
4 tbsps tamarind paste, mixed with 3 tbsp hot water and drained, seeds picked out and discarded
peel of Â½ calamansi lime, finely minced
1 packed tbsp torch ginger bud (aka rojak flower), finely minced
4 tbsp sugar (I used 5)
1/2 tsp sambal belachan (chilli paste) (I added)
Â½ cup toasted peanuts (80 g), skinless, and coarsely ground (I didn't use)

Local turnip, peeled and sliced
Cucumber, sliced
Pineapple, peeled and sliced
Green mango, peeled and sliced
Yu tiao (Chinese dough fritters) toasted til crisp, cut
Taupok (beancurd puff) toasted til crisp, cut

Instructions:
To make rojak sauce, thoroughly mix all ingredients except peanuts. When sugar is melted, add all of ground peanuts (if using) except 2 tbsp and stir till evenly mixed. You should have 1 cup of sticky sauce that's as thick as peanut butter. Taste and adjust if necessary
Toss everything, adding dough fritters and beancurd puffs towards the end so that they don't turn soggy. Plate and sprinkle with remaining peanuts, if using. Serve immediately.

Source: https://iloveicookibake.blogspot.com/2013/08/singapore-rojak-with-zespri-kiwi.html"
Red Onions,Chef Red Onion - Large,$1.85,https://www.fairprice.com.sg/search?query=Red Onions,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10736396_XL1_20230525.jpg,Tangerines,YayaPapaya Tangerines,$6.50,https://www.fairprice.com.sg/search?query=Tangerines,https://media.nedigital.sg/fairprice/90090838_XL1_20240723111024_89e4de289340a37af9658792aad9164f.jpg,Shallots,Fresh Shallot (Prepacked),$1.98,https://www.fairprice.com.sg/search?query=Shallots,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13136365_XL1_20221122.jpg,Celery,Freshco China Fresh Celery,$2.60,https://www.fairprice.com.sg/search?query=Celery,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13152295_XL1_20221122.jpg,Eggplant,Go Fresh Pearl Brinjal,$2.40,https://www.fairprice.com.sg/search?query=Eggplant,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13106605_XL1_20221123.jpg,"Total time: 15 mins, Serves: 2

Eggplant with garlic sauce
Ingredients: 
For the eggplant
400 g eggplant(aubergine) - 14oz, see note 1
Â½ teaspoon salt
For the sauce
1Â½ tablespoon black rice vinegar
1Â½ tablespoon Shaoxing rice wine - see note 2
Â½ tablespoon dark soy sauce
1 tablespoon sugar
1Â½ tablespoon cornstarch
4 tablespoon water
1 teaspoon sesame oil
For stir-frying
1Â½ tablespoon cooking oil
50 g minced meat (pork/beef/chicken) - â…“ cup, see note 3 for vegetarian options
2 tablespoon picked chili garlic sauce - see note 4 & 5 for substitutes
4 cloves garlic, minced
2 teaspoon minced ginger
2 stalks scallions, finely chopped - separate the white & green parts

Instructions: 
Prepare the eggplant
Add the salt to a pot of water. Bring it to a full boil while slicing the eggplant into batons.
Put the eggplant into the boiling water. Cover and cook for 3-4 minutes until it becomes soft (but not mushy).
Drain in a colander and press gently to remove any excess water.
Mix the sauce
In a bowl, combine all the ingredients for the sauce. Set aside.
Stir fry the dish
Pour oil into a hot wok over high heat. Stir in the minced meat. Fry until pale.
Add pickled chilli, garlic, ginger and white part of the scallions. Sizzle until fragrant.
Stir in the eggplant. Fry until itâ€™s piping hot. Pour in the sauce (stir well beforehand). Stir to coat evenly.
Turn off the heat once the sauce thickens. Sprinkle the green part of the scallions. Dish out and serve immediately.

Source: https://redhousespice.com/eggplant-with-garlic-sauce/"
Red Potatoes,Wah Harvest Australia Chat Potato - Red,$3.50,https://www.fairprice.com.sg/search?query=Red Potatoes,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13178554_XL1_20221122.jpg,Yellow Watermelon,Pasar Yellow Watermelon,$6.95,https://www.fairprice.com.sg/search?query=Yellow Watermelon,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10745831_XL1_20221122.jpg,Turnips,Orgo Fresh Turnip (Jicama),$3.99,https://www.fairprice.com.sg/search?query=Turnips,https://media.nedigital.sg/fairprice/90144338_XL1_20240723235937_2da5adae4d5d7beadbc260b80fdf0067.jpg,Chayote Squash,Malaysia Chayote (Choko),$3.99,https://www.fairprice.com.sg/search?query=Chayote Squash,https://media.nedigital.sg/fairprice/90135066_XL1_20240724020751_6dd1de3057f32bbc38be7aed51460595.jpg,Brinjal,Go Fresh Pearl Brinjal,$2.40,https://www.fairprice.com.sg/search?query=Brinjal,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13106605_XL1_20221123.jpg,"Total time: 30 mins , Serves: 4-5

Turnip Chayote Curry
Ingredients: 
Turnip - 1 - small - cubed
Chayote - cubed - 1 cup
Cabbage - chopped - 1 cup
Onion - 1/2 cup - chopped
Tomato - 1 - chopped
Garlic paste - 1/2 tbsp
Turmeric powder - a pinch
Chilli powder - 1/2 tsp
Coriander powder - 1 tsp
Cumin seeds - 1/2 tsp
Mustard seeds - 1/2 tsp
Oil - 2 tsp
Salt - to taste

Instructions:
Heat oil and add mustard seeds and cumin seeds. When the mustard seeds pop, add the onion and saute until translucent. Add the garlic paste and tomato. When the tomato becomes mushy, reduce the heat and add the turmeric powder, chilli powder and coriander powder. Fry until the oil starts leaving the sides of the pan. Now add salt and the cut vegetables. Fry for 4 to 5 mins and add 3 cups of water. Cover and cook until the vegetables are done and soft, about 15 mins. Now check for seasoning and cook open until the desired thickness is arrived. Serve hot with roti/chapathi/bread.

Source: https://krithiskitchen.blogspot.com/2011/02/turnip-chayote-curry.html"
Beets,Vietnam Beetroot,$2.99,https://www.fairprice.com.sg/product/vietnam-beetroot-500-g-90135064,https://media.nedigital.sg/fairprice/90135064_XL1_20240802101738_b41b7918258f1763d01193e9f1e0ba76.jpg,Carrots,Pasar Prepacked Carrots ,$0.95,https://www.fairprice.com.sg/search?query=Carrots,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13000321_XL1_20221122.jpg,White Corn,Yuan Zhen Yuan Super Sweet White Corn,$6.96,https://www.fairprice.com.sg/search?query=White Corn,https://media.nedigital.sg/fairprice/90169095_XL1_20240723185046_ecfc8e84a1d196a7397aea431c0ce035.jpg,Cucumbers,Pasar Japanese Cucumber ,$1.21,https://www.fairprice.com.sg/search?query=Cucumbers,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10421837_XL1_20221122.jpg,Purple Potatoes,Orgo Fresh Royal Purple Honey Sweet Potato,$4.22,https://www.fairprice.com.sg/search?query=Purple Potatoes,https://media.nedigital.sg/fairprice/90150285_XL1_20240723235813_1ff26bcb53eaaf59722b0aa40f470bbf.jpg,"Total time: 45 mins, Serves: 8

Purple Potato Salad
Ingredients:
1 1/2 lb. purple potatoes
1 large cucumber, peeled, quartered, and thickly sliced (2 cups)
1 cup halved grape tomatoes
1/2 10.5-oz. jar oil-packed feta cheese cubes with herbs, drained, 3 Tbs. oil reserved
2 Tbs. fresh lemon juice

Instructions:
Cook potatoes in boiling salted water 12 minutes, or until tender. Drain, and rinse under cold water.

Peel and halve potatoes, then cut into half-moons. Toss with cucumber and tomatoes in bowl. Coarsely chop feta, and add to salad. Whisk together lemon juice and reserved oil from feta, and add to salad. Chill 30 minutes, or overnight.

Source: https://www.vegetariantimes.com/recipes/purple-potato-salad/"
Tomatoes,Fresh Tomatoes,$1.82,https://www.fairprice.com.sg/search?query=Tomatoes,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12228635_XL1_20221123.jpg,Butternut Squash,Smart Knife Ready to Cook Butternut Squash Diced,$4.30,https://www.fairprice.com.sg/search?query=Butternut Squash,https://media.nedigital.sg/fairprice/90112236_XL1_20240717205529_033c6941ce1d76e9a8bf1f3fdeeba756.jpg,Chickpeas,Green Earth Organic Chickpeas,$9.90,https://www.fairprice.com.sg/search?query=Chickpeas,https://media.nedigital.sg/fairprice/90031014_XL1_20240723184721_0f16571b3c9d2d3daf0f34a3027ce7b9.jpg,Endive,Yuan Zhen Yuan Yellow Endive,$5.24,https://www.fairprice.com.sg/search?query=Endive,https://media.nedigital.sg/fairprice/90171161_XL1_20240716220626_2b676330f207390edf72426669c51ad7.jpg,Black beans,Dr Gram Organic Black Bean - Green Flesh,$8.55,https://www.fairprice.com.sg/product/dr-gram-organic-black-bean-green-flesh-500-g-90032000,https://media.nedigital.sg/fairprice/90032000_XL1_20240718203700_9570e337b0e369ecb3827d1be7fdc2a5.jpg,"Total time: 20 mins, Serves: 4

Chickpea and Tomato Curry
Ingredients:
Chickpeas, drained, 2 cans
Tomato, chopped, 2 medium
Tomato puree, 2 tbsp
Onion, chopped, 1 medium
Ginger, minced, 1 tbsp
Curry powder, 1Â½ tbsp
Rice bran oil, 2 tbsp
Salt, To taste

Instructions: 
Heat oil in a frying pan.
Add ginger, onion and curry powder to pan. Stir frequently until onion turns golden brown.
Add in chickpeas, chopped tomatoes, tomato puree and Â½ cup of water.
Reduce heat and simmer for 10 minutes until sauce thickens.
Serve with rice or bread.

Source: https://www.myheart.org.sg/recipes/chickpea-and-tomato-curry/ 
"
Pink Guava,Taiwan Pink Guava,$5.20,https://www.fairprice.com.sg/search?query=Pink Guava,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13018626_XL1_20230309.jpg,Carrots,Pasar Prepacked Carrots ,$0.95,https://www.fairprice.com.sg/search?query=Carrots,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13000321_XL1_20221122.jpg,Daikon radish,Grozer Daikon White Radish,$3.14,https://www.fairprice.com.sg/search?query=Daikon radish,https://media.nedigital.sg/fairprice/90075818_XL1_20240724074007_b71a346c661c52e83a4ff6d643d83837.jpg,Kale,Vegeponics Pesticide-Free Curly Kale,$5.85,https://www.fairprice.com.sg/search?query=Kale,https://media.nedigital.sg/fairprice/90065989_XL1_20240724084835_0e922f09841b4ed60c5035f7f921cd8e.jpg,Black lentils,Kitchen Xpress Black Urid Whole 1 Kg -- By Dashmesh,$3.84,https://www.fairprice.com.sg/product/kitchen-xpress-black-urid-whole-1-kg-by-dashmesh-1-kg-90022516,https://media.nedigital.sg/fairprice/90022516_XL1_20240801154208_3fe06fbbd6328ce557bcb043dbaafa69.jpg,"Total time: 45 mins, Serves: 4

Lentil and vegetable soup with crusty bread
Ingredients: 
Spray cooking oil
1 large red onion, finely diced
2 sticks celery, trimmed, diced
2 cloves garlic, peeled, finely diced
1 teaspoon ground turmeric
1 teaspoon ground cumin
1 medium sweet potato, peeled, cut into small cubes
4 medium sized tomatoes, roughly chopped
600 g canned no added salt brown lentils, drained, rinsed
300 ml reduced salt vegetable stock (see tips)
700 ml water
3 cups baby spinach leaves
1 tablespoon parsley, roughly chopped, to serve
4 slices crusty multigrain bread, toasted, to serve

Instructions:
Step 1 - Place a large pot over medium heat and spray with olive oil. Cook onion, celery and garlic and cook for 1-2 minutes, or until just softened.
Step 2 - Add the spices to the pan and cook for another 1-2 minutes until fragrant.
Step 3 - Add sweet potato, tomatoes, lentils, vegetable stock and water to the pot and bring to the boil. Reduce heat and simmer, partially covered, for 20-25 minutes or until sweet potato is tender, cooked through and soup has thickened. Stir through spinach.
Step 4 - Divide the soup between 4 bowls and serve with chopped parsley, cracked pepper and grainy bread.

Source: https://www.heartfoundation.org.au/recipes/lentil-and-vegetable-soup-with-crusty-bread"
Dragonfruit red,YayaPapaya Dragonfruit Red,$3.25,https://www.fairprice.com.sg/search?query=Dragonfruit red,https://media.nedigital.sg/fairprice/90074790_XL1_20240724084741_f24268360e260188000b5f1619ae12f3.jpg,Yellow Peppers,Orgo Fresh Sweet Crunchy Mini Pepper (bell capsicum) Yellow,$4.19,https://www.fairprice.com.sg/search?query=Yellow Peppers,https://media.nedigital.sg/fairprice/90149416_XL1_20240724020737_6c2934ece9ff673ef00d224649d9b9ed.jpg,Guava,Pasar Malaysia Seedless Guava,$2.95,https://www.fairprice.com.sg/search?query=Guava,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10828717_XL1_20221123.jpg,Shanghai green,Chef Shanghai Green,$1.57,https://www.fairprice.com.sg/search?query=Shanghai green,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13236470_XL1_20230919.jpg,Purple sweet potato,Orgo Fresh Royal Purple Honey Sweet Potato,$4.22,https://www.fairprice.com.sg/search?query=Purple sweet potato,https://media.nedigital.sg/fairprice/90150285_XL1_20240723235813_1ff26bcb53eaaf59722b0aa40f470bbf.jpg,"Total time: 45 mins, Serves: 4

Lentil and vegetable soup with crusty bread
Ingredients: 
Spray cooking oil
1 large red onion, finely diced
2 sticks celery, trimmed, diced
2 cloves garlic, peeled, finely diced
1 teaspoon ground turmeric
1 teaspoon ground cumin
1 medium sweet potato, peeled, cut into small cubes
4 medium sized tomatoes, roughly chopped
600 g canned no added salt brown lentils, drained, rinsed
300 ml reduced salt vegetable stock (see tips)
700 ml water
3 cups baby spinach leaves
1 tablespoon parsley, roughly chopped, to serve
4 slices crusty multigrain bread, toasted, to serve

Instructions:
Step 1 - Place a large pot over medium heat and spray with olive oil. Cook onion, celery and garlic and cook for 1-2 minutes, or until just softened.
Step 2 - Add the spices to the pan and cook for another 1-2 minutes until fragrant.
Step 3 - Add sweet potato, tomatoes, lentils, vegetable stock and water to the pot and bring to the boil. Reduce heat and simmer, partially covered, for 20-25 minutes or until sweet potato is tender, cooked through and soup has thickened. Stir through spinach.
Step 4 - Divide the soup between 4 bowls and serve with chopped parsley, cracked pepper and grainy bread.

Source: https://www.heartfoundation.org.au/recipes/lentil-and-vegetable-soup-with-crusty-bread"
Red cabbage,Grozer Red Cabbage,$3.14,https://www.fairprice.com.sg/search?query=Red cabbage,https://media.nedigital.sg/fairprice/90100712_XL1_20240723200824_8be5e17e63d44511e2ea551967aff79a.jpg,Yellow Potatoes,Superbon Potato Chips - Yellow Paprika,$5.50,https://www.fairprice.com.sg/search?query=Yellow Potatoes,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13245261_XL1_20240701.jpg,Chickpeas,Green Earth Organic Chickpeas,$9.90,https://www.fairprice.com.sg/search?query=Chickpeas,https://media.nedigital.sg/fairprice/90031014_XL1_20240723184721_0f16571b3c9d2d3daf0f34a3027ce7b9.jpg,Leeks,Orgo Fresh Chinese Leek,$4.98,https://www.fairprice.com.sg/search?query=Leeks,https://media.nedigital.sg/fairprice/90161678_XL1_20240724070925_d786365cd41cb04912b92de982f9d4f5.jpg,Brinjal,Go Fresh Pearl Brinjal,$2.40,https://www.fairprice.com.sg/search?query=Brinjal,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13106605_XL1_20221123.jpg,"Total time: 20 mins, Serves: 4

Chickpea and Tomato Curry
Ingredients:
Chickpeas, drained, 2 cans
Tomato, chopped, 2 medium
Tomato puree, 2 tbsp
Onion, chopped, 1 medium
Ginger, minced, 1 tbsp
Curry powder, 1Â½ tbsp
Rice bran oil, 2 tbsp
Salt, To taste

Instructions: 
Heat oil in a frying pan.
Add ginger, onion and curry powder to pan. Stir frequently until onion turns golden brown.
Add in chickpeas, chopped tomatoes, tomato puree and Â½ cup of water.
Reduce heat and simmer for 10 minutes until sauce thickens.
Serve with rice or bread.

Source: https://www.myheart.org.sg/recipes/chickpea-and-tomato-curry/ 
"
