Red,Yellow & Orange,"White, Tan & Brown",Green,Blue & Purple,Recipes
Red Watermelon,Papayas,Shallots,Broccoli,Black Olives,"Total time: 40 mins , Serves: 3-4 

Steamed yellow croaker with salted black olives
Ingredients:
2 yellow croakers (780 g)
1 tbsp white rice vinegar
2 tsp salt
12 salted black olives (180 g)
80 ml olive oil or cooking oil
3 garlic cloves, chopped
1 red finger chilli, sliced
1 stalk of spring onion (5 g), sliced
2 stalks of coriander (5 g)

Instructions:
Use a knife to scrape remaining scales off the yellow croakers.
Place the fish in a deep dish. Add white rice vinegar and 1 tsp of salt. Rub the mixture all over each fish. Rinse well.
Place the fish in a heat-proof dish and rub Â½ tsp of salt over the two pieces, sprinkling some into the fish cavity. Take care not to break any fish egg or milt in the cavity.
Cover the dish with cling wrap and place it in the fridge to chill if you are not cooking it right away.
Remove the fish from the fridge. Leave it on kitchen counter 45 minutes before steaming.
Rinse the salted black olives briefly. Place an olive on the cutting board. Using a kitchen knife, gently slice around the middle of the pit as you push the knife forward. Pull apart the two halves of the olive gently with your fingers. It should come apart easily and cleanly. Discard the pit. Repeat with remaining olives. Slice the olives laterally.
Heat 2 tbsps of oil (30 ml) in a frying pan. Add the chopped garlic and olives. Stir-fry for 90 secs. Set aside.
Drain off excess water at the bottom of the dish containing the yellow croakers.
Place the stir-fried olive and garlic mixture over the fish. Steam the fish for 8 mins.
Two minutes before the end of the steaming time, heat 50ml of olive oil over medium-low heat in a separate pan.
Once the fish is steamed, add the sliced chilli and spring onion over the fish.
Turn off the heat for the oil and pour the hot oil over the fish. Garnish with coriander and serve immediately.

Source: https://www.womensweekly.com.sg/recipe/food/asian-recipes/steamed-yellow-croaker-with-salted-black-olives/


"
Grapefruit,Peaches,Mushrooms,Brussels Sprouts,Raisins,"Total time: 40 mins, Serves 2-3

Charred brussels sprouts with grapefruit and yuba
Ingredients:
2 tbsp oil
350g brussels sprouts, bases trimmed, halved
1/2 tsp salt
40g dried tofu sticks
Oil, as needed for deep-frying
3 tbsp Kewpie mayonnaise
3/4 tbsp Japanese rice vinegar
1 1/2 tbsp soy sauce
3/4 tsp sugar
45g Japanese pickled ginger, chopped
1 1/2 tsp sesame oil
1 large grapefruit
A handful of nori strips

Instructions:
350g brussels sprouts, bases trimmed, halved
1/2 tsp salt
40g dried tofu sticks
Oil, as needed for deep-frying
3 tbsp Kewpie mayonnaise
3/4 tbsp Japanese rice vinegar
1 1/2 tbsp soy sauce
3/4 tsp sugar
45g Japanese pickled ginger, chopped
1 1/2 tsp sesame oil
1 large grapefruit
A handful of nori strips

For the brussels sprouts, preheat the oven to 445Â°F/230Â°C. Meanwhile, in an ovenproof pan, preferably made of cast-iron, toss together 2 tbsp oil, 350g brussels sprouts (bases trimmed, halved) and 1/2 tsp salt.

Place the brussels sprouts cut side down in the pan and set the pan on high heat for a few minutes, or until the cut sides of the brussels sprouts turn light golden. Transfer the pan to the oven and roast for 10 to 15 minutes, or until the brussels sprouts are tender and charred.

For the tofu sticks, on high heat for 5 to 10 minutes, steam 40g dried tofu sticks.

Once the tofu sticks have softened up nicely, remove them from the steamer and snip them into 2-inch/5cm lengths with a pair of scissors.

To a sauce pan set on high heat, add oil (as needed for deep-frying). When the oil heats up to 300Â°F/150Â°C, add the tofu sticks. Cook for about a minute, turning occasionally until they puff and blister. They should hardly develop any colour. If the oil is too hot, the tofu sticks will brown too quickly and blisters will not form. Remove the fried tofu from the pan and transfer them to a paper towel-lined dish to drain.

For the dressing, in a small bowl, mix together 3 tbsp Kewpie mayonnaise, 3/4 tbsp Japanese rice vinegar, 1 1/2 tbsp soy sauce, 3/4 tsp sugar, 45g Japanese pickled ginger (chopped) and 1 1/2 tsp sesame oil.

To serve, with a knife, remove the skin and pith of 1 large grapefruit. Peel and cut the grapefruit into segments, then cut each segment into thirds crosswise. Place the grapefruit in a serving bowl or platter and toss with the brussels sprouts and tofu sticks.

Drizzle the dressing over everything and scatter over a handful of nori strips.

Source: https://sgpnoodles.substack.com/p/charred-brussels-sprouts-with-grapefruit "
Red Peppers,Yellow Pears,Onions,Chinese Cabbage,Purple Cabbage,"Total time: 25 mins, Serves 4

Cabbage and glass noodles
Ingredients:
1 package mung bean vermicelli
(50g/1.75oz)
1 pound green cabbage (preferably Taiwanese cabbage; about 1/2 of a small to medium cabbage)
2 eggs
1/4 teaspoon salt
1/2 teaspoon sesame oil
1 tablespoon shaoxing wine (plus 1 teaspoon)
3 tablespoons vegetable oil
3-5 dried red chilis (break them open if you want more heat)
2 cloves garlic (chopped)
1 scallion (chopped)
1 teaspoon oyster sauce (or vegetarian oyster sauce)
1/2 teaspoon sugar
1 tablespoon soy sauce
1/8 teaspoon white pepper

Instructions:
Soak the mung bean vermicelli noodles for about 10 minutes until soft. Cut the bundle in half to shorten the noodle lengths, and set them aside (still in the soaking water). Prep the cabbage by slicing it into 1/2-inch thick strips.
Beat the eggs along with the salt, sesame oil and 1 teaspoon Shaoxing wine. Heat a wok over high heat until lightly smoking. Add 1 tablespoon oil, and the eggs quickly after. Scramble them for 20-30 seconds, until theyâ€™re just almost done (they can still be a bit runny). Take the eggs out of the wok and set aside.
Heat the 2 remaining tablespoons of oil in the wok over medium-high heat. Add the chili, garlic, and scallion. Cook for 30 seconds, until fragrant. Before the peppers and garlic start to turn brown, add the cabbage, and increase the heat to high. Stir-fry for 2 minutes, until the cabbage is wilted.
Pull the noodles out of the soaking water, and add them to the cabbage. Then add the cooked egg and the 1 remaining tablespoon of shaoxing wine. Stir-fry, then add the oyster sauce, soy sauce, sugar, and white pepper. Stir everything together and continue to stir-fry for another 2 minutes or so, until the noodles are tender (add a splash of water if the noodles look dry). Plate and serve!

Source: https://thewoksoflife.com/cabbage-and-glass-noodle-stir-fry/"
Radishes,Persimmons,Chickpeas,Avocados,Purple Carrots,"Total time: 20 mins, Serves: 4

Avocado, Tofu and Chickpea Salad
Ingredients:
Salad
Avocado, 1, peeled, seeded and chopped into 1cm cubes
Momotaro tomato, 1, diced in 8
Tamago tofu mushi, 150g, sliced
Chickpeas, 1 tin, strained and rinsed
Baby spinach or rocket, 200g
Flax seeds, 2 tbsp
Walnuts, 2 tbsp

Dressing
Lime zest and juice, 1
Shallot, 1 tsp, chopped
Balsamic vinegar, 1 tsp
Coriander leaf, 2 tbsp, chopped
Cracked black pepper, To taste
Sea salt, To taste (optional)

Instructions:
Combine all the ingredients for the dressing, and season to taste.
Place all salad ingredients in a bowl and toss with dressing.

Source: https://www.myheart.org.sg/recipes/avocado-tofu-and-chickpea-salad/"
Red cabbage,Pineapples,Turnips,Green Cabbage,Eggplant,"Total time: 30 mins, Serves: 6

Singapore Rojak with Kiwi
Ingredients:
For the sauce:
6 tbsps black prawn paste
4 tbsps tamarind paste, mixed with 3 tbsp hot water and drained, seeds picked out and discarded
peel of Â½ calamansi lime, finely minced
1 packed tbsp torch ginger bud (aka rojak flower), finely minced
4 tbsp sugar (I used 5)
1/2 tsp sambal belachan (chilli paste) (I added)
Â½ cup toasted peanuts (80 g), skinless, and coarsely ground (I didn't use)

Local turnip, peeled and sliced
Cucumber, sliced
Pineapple, peeled and sliced
Green mango, peeled and sliced
Yu tiao (Chinese dough fritters) toasted til crisp, cut
Taupok (beancurd puff) toasted til crisp, cut

Instructions:
To make rojak sauce, thoroughly mix all ingredients except peanuts. When sugar is melted, add all of ground peanuts (if using) except 2 tbsp and stir till evenly mixed. You should have 1 cup of sticky sauce that's as thick as peanut butter. Taste and adjust if necessary
Toss everything, adding dough fritters and beancurd puffs towards the end so that they don't turn soggy. Plate and sprinkle with remaining peanuts, if using. Serve immediately.

Source: https://iloveicookibake.blogspot.com/2013/08/singapore-rojak-with-zespri-kiwi.html"
Red Onions,Tangerines,Shallots,Celery,Eggplant,"Total time: 15 mins, Serves: 2

Eggplant with garlic sauce
Ingredients: 
For the eggplant
400 g eggplant(aubergine) - 14oz, see note 1
Â½ teaspoon salt
For the sauce
1Â½ tablespoon black rice vinegar
1Â½ tablespoon Shaoxing rice wine - see note 2
Â½ tablespoon dark soy sauce
1 tablespoon sugar
1Â½ tablespoon cornstarch
4 tablespoon water
1 teaspoon sesame oil
For stir-frying
1Â½ tablespoon cooking oil
50 g minced meat (pork/beef/chicken) - â…“ cup, see note 3 for vegetarian options
2 tablespoon picked chili garlic sauce - see note 4 & 5 for substitutes
4 cloves garlic, minced
2 teaspoon minced ginger
2 stalks scallions, finely chopped - separate the white & green parts

Instructions: 
Prepare the eggplant
Add the salt to a pot of water. Bring it to a full boil while slicing the eggplant into batons.
Put the eggplant into the boiling water. Cover and cook for 3-4 minutes until it becomes soft (but not mushy).
Drain in a colander and press gently to remove any excess water.
Mix the sauce
In a bowl, combine all the ingredients for the sauce. Set aside.
Stir fry the dish
Pour oil into a hot wok over high heat. Stir in the minced meat. Fry until pale.
Add pickled chilli, garlic, ginger and white part of the scallions. Sizzle until fragrant.
Stir in the eggplant. Fry until itâ€™s piping hot. Pour in the sauce (stir well beforehand). Stir to coat evenly.
Turn off the heat once the sauce thickens. Sprinkle the green part of the scallions. Dish out and serve immediately.

Source: https://redhousespice.com/eggplant-with-garlic-sauce/"
Red Potatoes,Yellow Watermelon,Turnips,Chayote Squash,Brinjal,"Total time: 30 mins , Serves: 4-5

Turnip Chayote Curry
Ingredients: 
Turnip - 1 - small - cubed
Chayote - cubed - 1 cup
Cabbage - chopped - 1 cup
Onion - 1/2 cup - chopped
Tomato - 1 - chopped
Garlic paste - 1/2 tbsp
Turmeric powder - a pinch
Chilli powder - 1/2 tsp
Coriander powder - 1 tsp
Cumin seeds - 1/2 tsp
Mustard seeds - 1/2 tsp
Oil - 2 tsp
Salt - to taste

Instructions:
Heat oil and add mustard seeds and cumin seeds. When the mustard seeds pop, add the onion and saute until translucent. Add the garlic paste and tomato. When the tomato becomes mushy, reduce the heat and add the turmeric powder, chilli powder and coriander powder. Fry until the oil starts leaving the sides of the pan. Now add salt and the cut vegetables. Fry for 4 to 5 mins and add 3 cups of water. Cover and cook until the vegetables are done and soft, about 15 mins. Now check for seasoning and cook open until the desired thickness is arrived. Serve hot with roti/chapathi/bread.

Source: https://krithiskitchen.blogspot.com/2011/02/turnip-chayote-curry.html"
Beets,Carrots,White Corn,Cucumbers,Purple Potatoes,"Total time: 45 mins, Serves: 8

Purple Potato Salad
Ingredients:
1 1/2 lb. purple potatoes
1 large cucumber, peeled, quartered, and thickly sliced (2 cups)
1 cup halved grape tomatoes
1/2 10.5-oz. jar oil-packed feta cheese cubes with herbs, drained, 3 Tbs. oil reserved
2 Tbs. fresh lemon juice

Instructions:
Cook potatoes in boiling salted water 12 minutes, or until tender. Drain, and rinse under cold water.

Peel and halve potatoes, then cut into half-moons. Toss with cucumber and tomatoes in bowl. Coarsely chop feta, and add to salad. Whisk together lemon juice and reserved oil from feta, and add to salad. Chill 30 minutes, or overnight.

Source: https://www.vegetariantimes.com/recipes/purple-potato-salad/"
Tomatoes,Butternut Squash,Chickpeas,Endive,Black beans,"Total time: 20 mins, Serves: 4

Chickpea and Tomato Curry
Ingredients:
Chickpeas, drained, 2 cans
Tomato, chopped, 2 medium
Tomato puree, 2 tbsp
Onion, chopped, 1 medium
Ginger, minced, 1 tbsp
Curry powder, 1Â½ tbsp
Rice bran oil, 2 tbsp
Salt, To taste

Instructions: 
Heat oil in a frying pan.
Add ginger, onion and curry powder to pan. Stir frequently until onion turns golden brown.
Add in chickpeas, chopped tomatoes, tomato puree and Â½ cup of water.
Reduce heat and simmer for 10 minutes until sauce thickens.
Serve with rice or bread.

Source: https://www.myheart.org.sg/recipes/chickpea-and-tomato-curry/ 
"
Pink Guava,Carrots,Daikon radish,Kale,Black lentils,"Total time: 45 mins, Serves: 4

Lentil and vegetable soup with crusty bread
Ingredients: 
Spray cooking oil
1 large red onion, finely diced
2 sticks celery, trimmed, diced
2 cloves garlic, peeled, finely diced
1 teaspoon ground turmeric
1 teaspoon ground cumin
1 medium sweet potato, peeled, cut into small cubes
4 medium sized tomatoes, roughly chopped
600 g canned no added salt brown lentils, drained, rinsed
300 ml reduced salt vegetable stock (see tips)
700 ml water
3 cups baby spinach leaves
1 tablespoon parsley, roughly chopped, to serve
4 slices crusty multigrain bread, toasted, to serve

Instructions:
Step 1 - Place a large pot over medium heat and spray with olive oil. Cook onion, celery and garlic and cook for 1-2 minutes, or until just softened.
Step 2 - Add the spices to the pan and cook for another 1-2 minutes until fragrant.
Step 3 - Add sweet potato, tomatoes, lentils, vegetable stock and water to the pot and bring to the boil. Reduce heat and simmer, partially covered, for 20-25 minutes or until sweet potato is tender, cooked through and soup has thickened. Stir through spinach.
Step 4 - Divide the soup between 4 bowls and serve with chopped parsley, cracked pepper and grainy bread.

Source: https://www.heartfoundation.org.au/recipes/lentil-and-vegetable-soup-with-crusty-bread"
Dragonfruit red,Yellow Peppers,Guava,Shanghai green,Purple sweet potato,"Total time: 45 mins, Serves: 4

Lentil and vegetable soup with crusty bread
Ingredients: 
Spray cooking oil
1 large red onion, finely diced
2 sticks celery, trimmed, diced
2 cloves garlic, peeled, finely diced
1 teaspoon ground turmeric
1 teaspoon ground cumin
1 medium sweet potato, peeled, cut into small cubes
4 medium sized tomatoes, roughly chopped
600 g canned no added salt brown lentils, drained, rinsed
300 ml reduced salt vegetable stock (see tips)
700 ml water
3 cups baby spinach leaves
1 tablespoon parsley, roughly chopped, to serve
4 slices crusty multigrain bread, toasted, to serve

Instructions:
Step 1 - Place a large pot over medium heat and spray with olive oil. Cook onion, celery and garlic and cook for 1-2 minutes, or until just softened.
Step 2 - Add the spices to the pan and cook for another 1-2 minutes until fragrant.
Step 3 - Add sweet potato, tomatoes, lentils, vegetable stock and water to the pot and bring to the boil. Reduce heat and simmer, partially covered, for 20-25 minutes or until sweet potato is tender, cooked through and soup has thickened. Stir through spinach.
Step 4 - Divide the soup between 4 bowls and serve with chopped parsley, cracked pepper and grainy bread.

Source: https://www.heartfoundation.org.au/recipes/lentil-and-vegetable-soup-with-crusty-bread"
Red cabbage,Yellow Potatoes,Chickpeas,Leeks,Brinjal,"Total time: 20 mins, Serves: 4

Chickpea and Tomato Curry
Ingredients:
Chickpeas, drained, 2 cans
Tomato, chopped, 2 medium
Tomato puree, 2 tbsp
Onion, chopped, 1 medium
Ginger, minced, 1 tbsp
Curry powder, 1Â½ tbsp
Rice bran oil, 2 tbsp
Salt, To taste

Instructions: 
Heat oil in a frying pan.
Add ginger, onion and curry powder to pan. Stir frequently until onion turns golden brown.
Add in chickpeas, chopped tomatoes, tomato puree and Â½ cup of water.
Reduce heat and simmer for 10 minutes until sauce thickens.
Serve with rice or bread.

Source: https://www.myheart.org.sg/recipes/chickpea-and-tomato-curry/ 
"
Red beans,Pumpkin,Black eye beans,Lettuce,Black lentils,"Total time: 50 mins, Serves 4

Dal Makhani (Indian Black Lentils)
Ingredients
2 cups urad dal (Indian black lentils) 
2 tablespoons avocado or neutral oil 
1 red onion, finely chopped 
2 heaped teaspoons minced ginger 
1.5 tablespoons Garam Masala 
½ teaspoon Red Chili Powder
1 cup chopped tomatoes in their juices
Salt to taste
2 tablespoons butter or vegan butter
1 tablespoon Greek or plant based yourt 
Pinch of salt 
Pinch of ground cumin
Pinch of red chili powder
1 teaspoon freshly chopped cilantro

Instructions
Rinse the lentils a few times and soak them in water for 6-12 hours. Drain and cook in an instant pot or pressure cooker with 4 cups of water on high pressure for 30 minutes. If you don’t have an instant pot, cook the lentils with 4-6 cups of water in a pot with a lid on medium low heat for 4-6 hours like you would beans.

Once the lentils have softened, prepare your masala. Heat the oil on medium high heat until it shimmers. Add the onions and cook for 3-5 minutes until softened. Add the ginger and cook for just a minute until fragrant.

Add the spices and cook for a minute until aromatic. Add the tomatoes and cook for 5 minutes sautéing often. Transfer the onion, spice, tomato mixture to the cooked lentils and stir well. At this point, you can add more water to the lentils if you’d like a soupier texture. Add salt to taste and simmer the lentils with the spices for 10 minutes. Stir in the butter.

Whisk the yogurt with the salt, cumin, chili and a splash of water until smooth. Drizzle the spiced yogurt onto the lentils, top with fresh cilantro and enjoy.

Source: https://www.laboiteny.com/blogs/recipes/dal-makhani-black-lentils"
Red lentils,Passionfruit yellow,Guava,Okra,Purple Potatoes,"Total time: 30 mins, Serves: 5

Spiced Okra and Purple Potato Saute
Ingredients:
2 medium purple potatoes, diced
2 cups fresh okra, sliced into 1/2 inch pieces
1 small onion, diced
2 cloves garlic, minced
1 tablespoon oil
1 teaspoon cumin seeds
1/2 teaspoon turmeric
1/2 teaspoon chili powder (adjust to taste)
Salt to taste
Fresh cilantro for garnish (optional)

Instructions: 
Heat oil in a large skillet over medium heat. Add cumin seeds and let them sizzle for about 30 seconds.
Add diced onion and sautÃ© until translucent, about 3-4 minutes. Add minced garlic and cook for another minute.
Add the diced purple potatoes to the pan. Cover and cook for about 7-10 minutes, stirring occasionally, until the potatoes are nearly tender.
Add the sliced okra, turmeric, chili powder, and salt. Stir to combine and cook uncovered for about 5-7 minutes, stirring occasionally.
Continue cooking until both the potatoes and okra are tender and slightly crispy on the edges. Be careful not to overcook the okra to avoid it becoming slimy.
Taste and adjust seasoning if needed. Garnish with fresh cilantro if desired."
